Query,Video_IDs
Mathematics Made Easy,"['DflY9vacl1s', '7G7UIQStEIk', 'e68-XmjEGvk', 'xlrUvSUunrY', '2c6fdzg_sbI', 'EQkP0h221ww', 'VULC2bdJj54', 'vRT7TRa3fDk', 'bRtJw1RikUE', 'GWFpg5pm1gM', 'RjrcoitbdTU', 'bc-OoJrrMuk', 'vAalvqyPjfs', '_skcekMpF_U', 'ZaGXR5Htf1g', 'BpLDg9gs0Qw', '-1hhKxfUjuA', 'v9LckYZY2JU', 'Jum7CSpK0_o', 'h87JMR4MvY8']"
Environmental Science Explained,"['80JP9SBKGv4', 'vkawTx92VSI', 'Jd9c-_A_JJc', 'llL9b0UZ44w', 'gXhj3Cp59YE', 'YCaotbALuKA', 'AxHTlcObBVY', 'nWhxmC4Ef7I', 'xrYiH0vTXHQ', 'mRk2liWcuRo', '8_vHt24OqUE', 'OQbz2A7f6hY', 'f5dhPuYo8LU', 'CHCiCDgqcgs', 'cllAt8kmq-U', 'G9t__9Tmwv4', 'svatf7M15do', 'tmSmdUCw0sk', 'YB5KyiSjECY', 'eeUIrUzoFFY']"
History of Science,"['VrQRFrrUsm0', 'CP_jjFRx8Pk', 'hGjhdZQI2fI', '6wLtC5_l21A', 'j7u-DoFJ7Iw', 'aGHonen2PMk', 'I0w1Jsq84b8', 'o1E4AlT4ltU', 'yANouekRJVk', 'f1TvRgZVx00', 'PONZsdONCYo', 'DdIdPc0udjA', 'SxTt3ikmNwc', 'c0OzfYgZ7ds', 'mOu3Nv5uhbc', 'SkwCr1-KhTE', '1fmnDoVzC4w', '4DrnCXDIaY8', 'RC-Png_EEhM', 'dqx9E7mlHNc']"
Geology for Kids,"['5Prp5iYFu4w', 'C77RU_1O9Tc', 'VU5_D_LwAhQ', 'TGHBgrihPSk', 'Yj2GcFgqTlc', 'jcwPnZ2zMCg', 'CXw1kg0rnJI', 'QTpo6IEqYLY', 'YqJqgLvrwp4', 'jTygAAYWoso', 'ocIFrOoF3VE', 'YSVOrjOm2Fg', 'XMjkO72KVjE', 'ZuaDAA2iGc8', 'Agb1nBI6e30', 'pJcNC2-zjiI', 'OiXSL3W7Rzg', 'odz4vJ1T36o', 'RV6tn6TO-OY', 'r8b3f2MNlMk']"
Space Exploration Documentaries,"['7vaVTjC4vJk', 'JnWJpGkLXtQ', 'R18q4F6Lqnk', 'HTHj_pvEYYE', '937stSQMr64', 'ZccCzvpjfJ4', '4L-jk7HCcnc', '-4Q8a3Tmbdg', 'lz6q5OvX3-E', 'mMGiYQPBaVk', 'eYdvnlNhfYE', 'p2CVaGPdZjM', 'udzaNR8o-48', 'e7oLtaZIVaE', 'ZWGP0QugjcQ', 'cYwisxS-3kg', 'Kv0wPEqhGV0', 'l0JHnuJtOvM', 'O1UgmAOdLJc', 'i-GxK6Mxmkg']"
Computer Science Lectures,"['XiRImCPhhqc', 'ReQdX04S00w', 'WO7wT-FX2mA', 's9F8pu5KfyM', '1Lcjh2Dv27A', 'EHWqOUzFSxU', 'YHR_YB1i5-c', 'pe2wrir0jJk', 'qECuHngZOKo', 'hoVe5RZUFZw', 'cY0FtXE-JzM', 'CNFK86hJRfE', 'Hsi8WsN3nFc', 'LBDU5awKa7k', 'v3NXiNOk9uc', 'KvCWQ0x8NQg', 'P0esWKtP5IY', 'Cwb9_4YdNyQ', 'yLOqh9Fr7uU', 'I22NLaqJ5ZE']"
Science Experiments at Home,"['HJ7tMgAtqD0', 'wwq6sO7WIeE', 'sqw2qt6kaSc', 'NyFXCPmEIDo', '0Q22b8ZBBVk', 'xW-NSiIzZlw', 'zlrKd7aLY8o', 'J8Vu4w7nfBU', 'cbAKmCHabeo', 'n8eZowYntyg', 'GK6_CirNv5E']"
Educational Science Animations,"['uGCexyr4IYw', '3orWfFItbhk', 'X4PKVVRc3j4', 'Bj6P0EKQrOg', 'Kh6W7ibBvBU', 'S0d0eIqaim8', 'm_IBnmVrXJk', 'mzJSWX2azCQ', 'aRHVsyfyPuQ', 'yaa13eehgzo', 'VkF8PG7eLUw', 'TZhNWjJ_i6s', '01vRuauW87Y', '9T0iGl1mVCs', 'FHNP4oPiAPE', 'qJuV_g7Xw3A', 'hWWPUIK3xZ0', 'ny0YdAGLHqo', 'DSIdaTSG2Gg', 'NuxOlyJ6OWc']"
Learn Genetics Online,"['E_TAHxPBqKY', '1ThNnuSuZC0', 'BKAUS193YlA', 'epvBh4ZBEV4', 'iAT1TrQDyas', 'g9wCYqhmhnQ', 'QKHoXwLe5nY', 'lZqF1Xcz7_0', 'K1ip9H2BhTk', '8RY3XW_WTMM', 'pUdZDeYEHko', 'K8z-XRzar0M', 'ofz_LJ7iKK0', 'KRAUpmSkatY', '6wMV81a58E8', '4OC-kAOK3CU', 'JpUOoDFAF2U', 'j_3TbA9EVaA', 'v-8rdBxW3_U', 'fP8Tyv6JjhU']"
Climate Change Explanation,"['QUCT90DyBh0', 'pZltfqH9Oe4', 'M9B75shO18M', 'G9t__9Tmwv4', 'dOI6Ivr0xjg', 'qPtElXngMSg', 'qoNRZKgLDhg', 'Kpya7-slQzE', '-NZIvvhGlR0', '9nXYslEDVNU', 'myZAvqqp9Jc', 'znNb9XLR--M', 'H5PNK5FIqFg', '_w21yS4A2ws', 'd4BFgtU0hJU', 'i6pO5YioZjA', 'N3CNFRNxmCs', 'uFlLDcppwpI', '9cvH2yniHu4', 'Rp5VI_OHyX0']"
Robotics and AI Explained,"['QF-Vu93C4m0', 'htjRUL3neMg', 'Sa4XaSA-9Us', 'SgE6D--y_3o', 'aqXK7WyjJ7E', 'Cwb9_4YdNyQ', 'DB1027Bfpmo', '-tb5OoNu1-4', 'IPmGFK065Mc', 'c0m6yaGlZh4', 'RzkD_rTEBYs', '2aTKpV-1l2w', 'HMjPZlQAE0E', 'DuK45BNfnIU', 'QWpOGfg8O00', 'rnuMTIKSCKI', '_inbcukQrpU', 'CSpdEc3sTnE', 'wGWVKkYEHBE', 'qzFaCdgY4G8']"
Neuroscience Simplified,"['jpkyFENMs_Y', 'Z4jiG1cBHec', '3Bt8b-VELYE', 'tEBsTX2OVgI', '_u90FXjwdm8', 'd2lRMlp-LZs', 'xNY0AAUtH3g', 'BJshegpcFv8', 'C7PYRuggQng', 'S4PRRYlrzUc', 'FOk8komBvVM', 'rtsfTUwY4aQ', 'F5c-JzqBH4A', 'Wlj3Y2ggNn0', 'UK_tzmNGhsc', '8brbjfNX8ck', 'em2fEsjxxbE', 'hBtsbEboyfE', 'ebmi-UMascE', 'U9BicEvAzSI']"
Evolutionary Biology Insights,"['40iz2GQtwGo', 'UrUFvHn_ZBs', 'QaOAFsbk4mA', 'JCyggVmkfjg', 'OLYhmfJEJ3I', '4-9UYUA2MeU', '9wFyFiyZgHU', 'Ceu13UyRFB8', 'QNr3fn_O6Ko', 'vvwDm8KlVlA', 'eqJODQIGV0k', 'C0WVXLM0qzY', 'GELq2WHv5Po', 'Y7wzxRxnxUo', 'vBI7ST8GZvM', 'QS8bukoLJTw', '5VoTacFzvGo', 'BbaZNLePWmw', '1GMBXc4ocss', 'RKy2R32XM6Q']"
Math Puzzles and Challenges,"['rK6kt8RmFbc', 'TBLeJ-ro2Hk', 'QxAZ6ofJQfA', 'rWRfn-j5nvY', 'qmCst43EFXg', '92a2WrnU28o', 'md0FdQOudqw', 'PVFwUGE6mBU', 'rjFjw-DuvsY', 'zd3ehQwzYy0', 'sCwbP-Rx9wM', 'GPJYL8g1ycg', 'TpITmBZrrRw', 'AE5N66NAusg', 'JRjqIs7Y2YU', 'dKaM3Fv8684', 'cfxdHmxv6a8', 'qA4MykAXDF0', 'gaDiyWowbUc', '3jnbBVpOf40']"
Chemical Reactions Demystified,"['EaGDdTKFTHY', 'AtqxpFCKON8', 'jC5fNifIOQU', 'oL79hzSaoMU', 'im4kNOYGvlk', 'P-8x3lfvxUI', '64wtftXi7co', 'BKUB4P-wTd8', 'rYXQ7E2t3JQ', 'ZOhUQnb4woU', 'ieFD-1iHpBw', 'jPoVQwNweuE', '0mnmCeFVhtc', 'MWijoHGxqew', '6rHHh9Cg9YE', 'h9hQpK8w-ZM', 'lLf0xaejY14', '06jVEERFW-0', 'fW619uZaC3w', 'zC3L-JDQpoc']"
Human Anatomy Lessons,"['HxZr2iHG-Ps', '6wMV81a58E8', '9018sDL_PzM', 'u9EovscX4NU', 'NcKZgp9Hu24', 'WIz1ygt2xZs', 'oDCkFN-J-Fw', 'uKUlZJMXS_g', '1o_L9y7Gk74', 'k2BvGik8w5Y', 'm71SSEDWSpM', 'sGjVs2p9QrY', '_fNa4eP7Xj8', 'X7ikeBHDfQY', 'U0UhiMgMvKw', 'HbdnIfD1jWE', 'T8M4MAoUPgE', 'vIeWYF2Ztgg', 'Kqqd8gIZ0iY', 'OI8i-UHddp0']"
Exploring the Microscopic World,"['tZZTUTUXcZM', '4G6jNQU2YzI', 'CpK3pkH2WtM', '8IAAimtPRKo', 'iiaK_lcnqgg', 'go4ng5OORL8', 'Hv7XFq2zcRo', 'KZLbOQFmNwg', 'b39GymXBuIk', 'KhoNQ1Ell50', 'f2--GmvcZ-8', 'XqCVO5Pgw_0', 'AZiFxVQ7QK0', 'ZvJSrXddLrE', 'jztiagabCwM', 'LSi3ttXlqLI', 'AJ_i9keDhAA', '7RpSmk34tio', 'od5CHLEhNto', '6zMTmJYYRcU']"
Earth Science for Students,"['QsvwswQl6Vo', 'x26t3gVh7Lk', '6gFMIBx_o44', 'zzYMzSEWS6g', 'oMIX4cz9X0o', 'hi2oamo4DGY', '93S8HKjmGLQ', 'ma4rESACr1A', '7vwk-3A0b0s', 'fBREe61QquM', 'Y42mXi5nCKI', '5Prp5iYFu4w', 'TlfE-5AZOlc', 'f5dhPuYo8LU', 'JGXi_9A__Vc', 'LNv4y3wPQA0', 'hoVe5RZUFZw', 'eTZti4mGRFA', 'HWuCf3A0maY', 'OyvTUMFwBNU']"
Astrophysics for Enthusiasts,"['of3drMjYFGA', 'Fz5eHJSIqqc', 'olQv7z1HxrA', 'M30Hb9eH0so', 'ZgEdG-MrWjg', 'mHchDkGf3mI', '61gzRkId8Tw', '-8ex9XdjJdE', 'dZ81SJ4Bc9A', 'uDGz4SGZvYU', 'EysVhq62624', 'c5YR7qXVNLg', '7m8ZT5jy_kM', 'VNmgSvZ-sJg', '9wqiIm-1ZVk', 'wY-qdV0u9sM', '5DpKBgc-I0M', 'm4xzb8cJZAw', 'L0aFB5CsGvc']"
Historical Scientific Discoveries,"['qOOH9cW6wOY', 'NPhO7oFh1gI', 'GM0O3X-f4To', 'vup_pljAXgA', '2ptJHOeQ7ng', '8CbkGF8bZlE', '6czN5caGFjI', 'Vg3WIT-oW2I', 'd8BvVSk8v1Y', '7SZ5ewUujow', 'MwWZwlBlamw', 'q_1Jnd4Ai6o', 'fMGjd9CE0RM', 'CLLhsI8fmbU', 'hLC4ePJ7bH8', '1ng2vBvb7Dg', 'kPBVAb0b8Fc', 'RYRkgvYdNVc', 'v21IgAc79Ss', 'vs8KX-0gOTY']"
Environmental Conservation Tips,"['pHbhwofQgg0', 'nTcFXJT0Fsc', 'LAXvWKv0yvA', 'OjWp29jO58Q', 'nWhxmC4Ef7I', '7TVXzZZG_nc', '9DgtpPFSUrg', 'lAzkdZGAth4', 'XYBlNsAbWHA', 'jNixy7C7q10', 'dXPda8SZyNY', '7Xvl1A7cDqU', 'B8nrdBw4bXE', '73_gQpGLpT4', 'f5dhPuYo8LU', 'i3FaLkc3s5k', 'EJFbhFhcMNw', 'kVDexLMIGV4', 'l0aKi8npp5w', 'S_B30tDHCpU']"
Computer Programming Tutorials,"['g9fIWtSexLs', 'zNq4dB2FzcQ', 'UVxhEk3ph5w', 'GzvKRGBcun8', 'gRzFHNDiCuo', 'WO7wT-FX2mA', '9BvBRXkJA58', 'nvsUygpBSR8', 'ZTavfFXOTzY', '25RdTDN2Trg', 'yLOqh9Fr7uU', '746mfQalS48', 'RyRo8eVsrlU', 'R6O2qWTKhPw', 'DZjrmtFUsrE', '9s29LKfEFjQ', 'JgP5IVMXPqM', '66tfvFeALBQ', 'wvqbKGZOSVg', 'eB74q6XqLu0']"
Science Behind Everyday Life,"['6vW8DRjHkPQ', '0RrNwu5zToA', 'Ee2AeKP2bpc', '1BYKZEEOYmQ', 'f84O5XFdgXE', 'hvtNJHbffik', 'pdm0e_Uexqc', 'mMaTC-Z1QvY', 'upi_HU4yza4', 'BG8SONvb-iE', 'tBwFRnTzcYY', 'u8cKDy4jwUM', 'Bbq6dBPG9n4', 'RC-Png_EEhM', 'SsIi7HCm5Oc', 'bFIVYRfyb3E', 'wwq6sO7WIeE', 'TbONbyZaLXk', 'hBO-d-nPu3g', 'RmR1N7tQxKE']"
Science Communication Tips,"['584mrO0EVqE', 'h8ZJSAyJ_bQ', 'N-VHewPgPP8', 'nNNTDenFS0M', '0p4_k1i5Vvc', 'oTvRlbIOMzg', 'I6IAhXM-vps', 'rgbR5xmnSYY', 'IoPcXf5faZQ', 'rLAkuK4vbuU', 'dhnzaW3h_yk', 'ovDH_o9I0Jo', 'D4ideJ2RrSk', 'uT_4u5O1TNM', 'Ipq9LMzTCT4', 'cFFS7nuQJEE', '172Rat6urds', '7fwx6sU1Mjc', 'iBi8ImVC1UE', 'mGX2buCGuHM']"
DIY Science Projects,"['EQJzzhsPL4M', '0Q22b8ZBBVk', 'DVmCFQlGeqc', 'VrHPtzuhoI0', 'HJ7tMgAtqD0', 'lG7995Qls6o', 'f5dhPuYo8LU', 'xbob-J74Ih8', 'JMH3t5md2wM', 'NyFXCPmEIDo', 'IPhARlUO6NA']"
Famous Scientists Biographies,"['ZFcrtt2dD6Q', 'nqUHTdYCwIs', 'ySiArrrR-7w', 'GfSMV84EbgE', 'Pb4tUIGVUzw', 'sFIX2AdwWB4', '1ng2vBvb7Dg', 'gnKnt15o7j4', 'Hox8is2FmIA', '0zk-NVPYPWk', 'DPLmBuF3Xlw', 'cv_zngyS0E0', 'TqOeP81DsTM', 'uCmQZJnOgzc', '_7pWP89C6rg', '4KJoqyMmLZk', 'OCYol3v7W8k', 'PSVkTG10tfI', 'KHwy2iF9VYI', 'pQeKOCLM5qo']"
Provocation,"['4QP5CvHB1s0', 'JfVDLz4Q_gM', 'xpCJST-c-dE', 'OVTjX82lAfY', '4ChtDj7GpIc', 'qJU8I4KWpJs', '06YOF1p-2Xw', 'SQYkxbDVxGQ', 'rNrqJHlRLFc', 'CMWfkTnuMDA', 'Av_k_MbXMz4', 'KRE8YcPCwQM', 'YDclxpQaAWI', '4dt5H79FJX4', 'MH2s6J4m2RE', 'oA1gyozSigQ', 'ZWBS2ZAoAUw', 'AErkAx9w2ec', 'eE4SmAhCUGM', 'upg-JPfGr5s', 'bHjXtCvz82s', 'p6boLw5twbw', 'PiaGNnJVBmk', 'Y3jPVztx_yg', 'JeXH8sT_e7g', 'rCCo17lXM6g', '7QJ7h8NJ8Kw', '_ph2Fll_Nis', 'd7UkdhzlN2A', 'jNhUS4cxBew', 'x5RGm2x0U2I', 'DFSqpKJbmDc', 'w74XPTu9yxA', 'BQMMJdvp7Cc', '0BnDoOrwaDk', 'DpAi90HgldM', 'yd21bQKjW0k', '2-HvVS8doNY', 'yANYx4LgqOc', 'eKJ-fXAMOV0', '6BEymz8RCn4', 'F99sd42_BCM', 'Lh7DG99QxQU', '8jDSZIEMTqE', 'ZMVX6LBwgVw', '4a9iaCFOZPU', 'PaRu2-kskMg', '69mpoGP-k74', 'AVYnHa26OZI', '3Gy9nCPRPII', 'DpAi90HgldM', 'yd21bQKjW0k', '__AUATL568k', 'yqs8_-S3T7A', 'zs895uTTdYI', 'yANYx4LgqOc', 'DdApl1W5Nnw', 'eKJ-fXAMOV0', 'F99sd42_BCM', '6BEymz8RCn4', 'zcaiPR2SZCw', '8jDSZIEMTqE', 'ZMVX6LBwgVw', 'PaRu2-kskMg', '69mpoGP-k74', 'AVYnHa26OZI', '3Gy9nCPRPII', 'tx4TNfBP8fU', 't4Qy5L-GxkY', 'Yq-GM9OBJNk', 'iRAEcvolFT4', '3g1mj3CWHKc', '1gp1kPkv4hk', '74WC8VGMkyw', '8nmINlK2x5I', '21UboHkRZzI', 'v9QvQJTkurg', '_ZTlWXHTfzk', 'xBZVIoFc6M0', 'Mx7kH6LPhFA', 'eKw4PkoKJ7E', 'Q1HlEicr1zE', 'X5cTyStuAUY', 'Bmj077kZUYI', 'p9k-i1nvPYQ', 'aAAG75tv81E', 'M_mp3L-jE_o', 'cth8_JLmZIM', 'UZrGvkBQoPQ', 'gfoZgj4_xDU', 'Q5hwLOPcJ0E', 'M6J6Rm18-po', 'eEvbat_eDDc', 'Ys49Zm2JCyM', 'lVPAh8DRHFE', 'OvtTuQAm6ks', '-zbnPuzBdNs', 'fGqvlG5bE6I', 'LnB6C8-Yaak', 'q5ZmcUlYsos']"
Sexy,"['9JTSkutgV4U', 'ATx-hlfK9o4', '71fp9OHBsc8', 'tfSoHecAcqI', 'A8ZWqpTJtsk', 'lThaG-9QRxg', 'N8ubEWpPfeE', 'HwnXVOjLIjQ', '9bAAukwNRZY', '2eFOqAIcvU0', '8QZUCsZRxPo', 'VSE0WKEBrqw', 'rz3tHGFg6DY', '-4wZBAW8FUE', 'ImjWlnUvlOo', '6WrOD-akoFQ', 'gckYpmfcR58', 'J3jKS97SdoQ', 'WmOmUhHVyYA', 'UHQWx-Up4Bg', '8a44IclZUZo', 'zzwdT1nTpgQ', 'dTPk-9eVCWs', 'TWqDYYQCaFM', 'pj2QEBfaYNs', 'hchS8yQhmDo', 'oAktZRyqCeI', 'pGSJd83mOVE', 'AWwm04ASzmI', 'A2ZLjI9BADw', 'Kw97w3tJY7U', '9yv6ln_-l3Y', '2Wa6optKrZ0', 'h18vL7RuZHA', 'IXalAjCHHgw', 'MznKjPJdGbg', 'XzpKkVVzfzs', 'xoTDwh2rY9g', 'PyPeiSdCeT4', 't6sgkIwY3Ts', 'pJZAzqmYA7Q', 'IMSi0595U1c', 'ZblVEB9GwEI', 'GtKNpmUmeiQ', 'lDTjR8CUr6c', 'ut0FkaO7GGI', '6vbWuvH3TiE', '7UtdnGTltBk', 'ex3ffaO2jHU', 'mWQ2r4hoRJE', 'mWQ2r4hoRJE', 'dILa8xjxIyc', 'DssOINODtZQ', 'IzDRZi_9cJQ', 'XXsF50Kr1zs', '0NiquXlIbjI', 'J9dUup2JB7E', 'Ia3rddIA0JM', 'iB5Wh6KMLGI', 'RXLvqQqugv0', 'DuZF0npNBC8', 'v1Vgv9A8ZnM', 'E2OGsiVd4hc', 'cMp125aW_zY', 'AsN6VtucUjE', 'xlXdUUwhmTk', 'Pwkf7-wi6G0', 'pQx1tSkz5NE', 'bmH25NZ6F24', 'HDr5FOY9Xv8', 'ctTNoZt1cZQ', 'vJNml69qw1M', 'qYzVD3_mWBA', 'Qx5q1WNV_-E', '1KV2RJxFOzw', '8o5FAmz9Z_g', 'XwggHeN-yCg', 'a_Pj6Ah3rDA', '5niL_rKLIbg', 'a-FD88I55Vo', 'KiqvRuCUZrA', 'n0jelYJLmqo', '6US97KDLPQQ', 'VJ5zL9cj3mo', '24LtcBzoIPE', 'Z55YH9gwjf0', 'bZLHMFbh0-0', 'DZHC0ltTgp0', 'hDf0NL5-AjA', 'RujJnmB9ksE', 'MmJ_ewyZg_k', 'LS7lCRbkkPY', 'VTEsa1vi8HM', 'dMqUucyAFlQ', 'b7PB61b6r8A', 'n3d1KYzi7iI', 'AFUFkldnPeM', 'yExz98gSIB8', 'ccXIOf_sC1A', 'be4ns7vfZDY']"
Sexist Joke,"['R1ENVua_zcQ', '_RiXWwbG5GQ', 'VbJCDHtrGEI', '8zm_4eShsSQ', 'XqnwQKLe--8', 'w5MmdvKOcig', 'snfU14YiI9A', '8LYfl9_7y30', 'syd4NaYF6rs', 's9qmwAhkzbM', 'h-GkM7vTvKo', '5tB5gXREX4A', 'Kz3M_kw6oGQ', 'NwKF3Q2vico', 'sZMOppjh830', '5JHATnLuyZI', 'fSOSlSnSOD4', 'eEAQ2isC4WY', '5-e_pPWBu5I', 'BsDFzV-Hpsw', 'U9CpfqpKTa4', 'OubN_CUX-Yo', 'H4HsvYvtAmw', 'tWDb0oongzc', 'PodZiWF71M0', 'OC1Qo6vm1eQ', 'nJhM0d3v01w', 'rFxbaF65FF8', 'Temz_XQGNA0', 'xkJLSE-Fiyg', 'bPp6JQe0Z2A', 'qz91smv1cZ8', 'mpWPjYhzcag', 'FGDJXCnJmB8', 'S15r3MTV8Kc', 'HwnXVOjLIjQ', 'OTpSsMLWI7o', 'XhA4BU6ic3k', 'E0VAFJ_Aqfo', 'aknKVVzJd4c', 'nAQf_s_wEEY', 'mYKoSBzknBw', '-YsNkKAYM1w', 'itIHQKOuz3A', 'HaOoOLlhmRA', 'gdJM3rn895o', 'yPY7G6-PYqM', '61QTuEN7hNg', 'tz8e7tDxAVM', 'tLe9sj9M3T0', '-rGz2rfWWlg', 'Gw3UCX1XJHc', 'uPIDA3jDQFo', 'Exdufxmz5aw', 'ILfC2owPiQQ', 'tIKXS0sGigQ', 'lqL-2F4dSg0', 'A0DK9RD9R_g', 'WFElKQwTws0', '0nzGuzmZgW4', 'rvbnwEJAgUY', 'xXuMxH9gLC8', 'BG8u1EIqC-I', 'C4K8fc5Pnlc', 'oVZhrdMXRs4', 'EsOStRQc9KE', '8TS3VEj-2nU', 'flnETACHwUU', 'ZJkfJC15_OE', 'KgVy0gSKrsY', 'QMloyz8kXUI', 'JlXNGprnjYs', 'AuTxP4YTpH8', 'OIibXW2JS3A', 'VK3VQELZ4TY', 'fGLDMZ-jJfQ', 'pbGe8gg3xig', 'dXZBasjjOZc', 'U0lWUuNUL9I', 'KjPvX6ufUp8', 'awnq-2Rc7-c', '6acLTVTO1F4', '2Qh1MJlsMrM', 'oBW8ysI5fdI', 'l5vMOdIYKeg', 'A30nr-_cW3w', 'Ch-hwFB_ix8', 'ehyriQDWv4s', '8lOClOhD6Ys', 'YzFSkWozYDY', '-JY_5r4WURI', 'psNBxXWDclM', '0acRhxIkEyU', 'j18SwdutMVo', 'xy8eeohKY9I', 'PwwdZ-ldYDo', 'cam1Ge4HXNs']"
